"","Gogo","Noddy","Ganesh Gaitonde","Voldemort","PB","Phoebe Buffay","Shiro","Augustus","Mr. White","Yatin ","Wonder Woman","Phantom","Red skull ","Bojack","Steven Gerrard","Michael Scott","Scout","Peter Griffin","Harry Potter","Creed","Thor","Scrooge","Chandler","Captain Marvel","Moonface","Krims","Aragorn","Naruto","Morty","Joey ","Eowyn","APS","Rey","RB","Heisenberg","Archer","Athena","Chandler","Nick","Sheldon","sovereign42","Mojo","Batman","Emily","Yoda","Chandlerr","Thanos","Fool of a Took","Tweety","SG","Ravenclaw","Madonna","Kite","kokilaben","Pablo Escobar","Tyrion","Rumi","Shelby","Joker","Mr. Wick","Kyo","Scrooge","Storm_Breaker","PK","Ashy_Drongo","Saitama","Shikaari Shambhu","Pepper","Madara Uchiha","Sansa","Vincent Vega","bira91","Donna Paulson","dragomir","SHERLOCK","Pickle Rick","Gina","Popeye ","Diana","lily","Gordon","Sheldon","Anups","Peter Parker","Pingu","Sherlock","Jack Reacher","EthanHunt","Rick and Morty","Moana","Agnes","Amy Santiago","Pikachu","Groot","Batman ","Amy Dunne","gojira","Hachi","Joker","Donna","Shinchan","Sheldon","Dumbledore","Enola","Batman","Joker","black","Balloo","Sirius","Aragorn_son_of_Arathorn_Heir_of_Isildur","Bubbles","princess mia","Harvey","Nuance","Ammu","Master GoGo","John Wick","Jerry","Munna Tripathi","Shushree","Mulan","Louis","Daniels","John Wick","Batman","Blossom","Phelps","po","Bruce Wayne","Rick","teja","Bumblebee","Butcher","Eisenheim","Sri","Iron Man","Lisa","Professor_X","SS","Bonbon","Shiro","Monica","Gandaldore","MBB Shortlist","Ace","Tattler","Pikachu","Noddy","Stan Lee","Thor","kira","Suppandi","Calvin","Tom","Slash","Dante","Penny","Cactus","Midge Maisel","Baburao","Raymond Reddington","flora","jaquen ha'ghar","Bubbles","Ava","Jean Grey","Venom","Heisenberg","Hermy","Lisbeth","Katniss","Gogo Yubari","Veronica","Shaktiman","Maximus","Argetlam","Baburao","Jessica","Venom","Zeus","Janet","Dark Knight","vr46","Piku","Dr House","Jaanu","Rachel","Scooby","Leia","Monica","Santiago","Fluffy","Donna","Jerry ","Arjuna","Hulk","Shelby","Naruto","Govinda","Don Draper","Katniss","Shelby","MS","Ptolemy","Sim","Shrek","boredtodeath","Buttercup","Quinn","Snowball","Nagin","Jerry","Mr. Spock","spider man","Shah Ghouse","momo","Phoebe","Pikachu","Tony","Grace","Eli","Beth","Quinn","Katniss","Ox","Obelix","Vito_Corleone","Celine","Kendall Roy","Legolas","Sheldon99","LBee","Luna Lovegood","Flash","Darcy","Bubbles","Chacha Chaudhary","Dexter","Rocket","Bubbles","Hobbes"
"Tweety",3,5,6,2,2,1,1,2,2,2,2,5,3,1,1,3,5,2,2,1,1,2,2,4,0,1,1,1,2,3,1,2,1,2,2,4,3,3,1,1,1,0,2,2,2,1,1,1,0,2,2,2,1,3,2,2,1,2,0,1,1,1,0,1,2,1,1,1,4,2,3,0,0,0,1,3,3,2,1,2,2,0,1,1,1,1,1,3,1,3,1,1,1,3,2,3,1,0,3,1,0,1,1,0,1,1,3,1,2,1,2,3,2,1,1,2,1,0,0,1,1,2,0,2,0,3,2,1,1,1,2,0,2,2,1,1,1,1,0,1,0,3,0,0,1,1,2,3,1,1,1,2,1,0,2,0,0,2,2,2,1,2,3,2,0,1,1,1,0,3,0,0,2,1,1,0,0,2,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,2,0,2,1,2,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,2,0,0,0,2,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1
"SG",3,3,2,4,2,2,2,5,4,2,4,2,2,2,3,2,5,2,3,2,2,1,4,4,1,2,2,2,2,3,1,1,1,1,1,1,2,3,1,4,2,1,1,2,2,2,2,2,2,0,2,2,1,2,0,2,1,2,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,0,2,2,1,1,1,1,3,0,3,1,1,0,1,4,1,0,1,1,2,2,2,0,0,2,2,1,2,1,1,1,2,1,0,1,1,1,2,3,2,0,1,2,1,0,0,2,1,1,1,0,1,1,3,1,0,2,2,2,1,1,2,1,1,1,0,1,0,1,3,0,1,1,1,1,1,0,1,2,0,1,1,0,1,2,0,1,1,2,1,2,1,1,1,1,0,1,1,1,1,1,1,2,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,2,1,0,1,0,1,0,0,1,0,0,1,1,0,3,1,0,2,1,0,0,1,1,0,0,0,0,1,2,0,1,3,4,0,0,1,0,0,1,0,1
"Ravenclaw",7,1,3,3,1,4,4,3,1,1,3,1,1,1,2,1,1,1,2,2,2,2,3,2,5,1,2,7,2,1,3,0,6,3,3,0,2,1,2,2,2,2,1,4,4,1,2,1,2,2,0,1,0,1,0,1,1,0,2,0,0,1,2,5,0,3,1,4,1,2,1,2,3,0,1,1,2,0,2,0,2,1,4,0,4,1,0,1,0,0,2,1,1,1,0,3,0,2,1,2,2,0,0,5,1,5,3,6,1,0,2,1,1,1,4,1,5,2,1,0,1,0,4,0,0,3,2,0,0,2,2,0,1,0,0,1,3,5,0,1,0,3,0,0,5,1,0,0,3,0,1,0,0,1,2,0,4,2,0,0,1,0,0,2,2,1,0,2,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,1,4,0,1,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,3,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"Madonna",3,4,3,4,2,2,2,4,2,2,3,1,3,2,2,3,3,2,3,2,2,2,2,1,1,3,2,0,2,3,2,1,1,1,1,2,3,3,1,1,1,1,2,2,2,1,1,2,2,2,1,0,4,3,1,2,1,1,1,2,2,3,1,1,2,1,2,1,2,2,2,1,0,1,1,2,0,2,0,1,3,1,1,2,0,1,4,2,2,3,1,2,1,2,1,1,1,0,1,0,0,1,1,0,2,0,1,0,2,3,2,3,2,0,2,2,0,1,1,5,2,1,1,1,1,3,2,2,1,0,2,0,2,2,1,2,2,0,1,1,1,2,1,1,0,2,1,1,1,1,1,1,2,0,0,2,0,2,1,1,0,0,1,1,0,2,1,1,1,1,2,1,2,2,1,0,1,0,1,1,1,2,1,1,0,1,2,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,2,1,0,1,1,1,0,2,1,0,0,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
"Kite",2,4,2,4,3,2,2,3,2,2,2,1,2,3,3,2,2,2,3,2,2,2,1,2,2,4,2,0,1,2,3,4,2,2,2,2,3,2,2,1,3,2,2,1,1,1,2,3,1,1,0,4,0,2,2,3,1,2,1,3,2,2,1,1,2,1,2,0,1,1,1,2,1,2,1,1,0,2,1,1,2,1,1,2,1,1,4,1,3,1,2,2,1,2,1,2,2,1,1,1,1,1,2,0,2,0,1,0,1,3,1,2,2,1,0,2,0,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,0,2,2,1,2,1,2,0,1,1,1,0,1,1,1,2,1,0,2,0,1,1,1,0,0,1,0,1,1,1,0,1,1,2,0,1,2,1,0,2,0,1,1,2,3,1,1,0,1,0,1,0,1,2,0,1,1,1,1,0,0,0,0,0,0,2,1,1,1,0,1,0,1,2,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
"kokilaben",3,3,3,3,2,2,2,3,3,2,3,2,4,2,2,3,3,2,3,2,2,2,2,2,1,2,2,0,2,3,1,1,1,1,1,2,2,3,2,1,1,1,2,2,2,2,1,2,3,2,1,3,2,0,2,1,2,3,1,3,2,3,1,1,2,1,2,2,2,3,3,2,1,1,2,2,0,2,1,1,2,2,1,1,1,2,2,2,2,1,1,2,1,2,1,0,1,0,1,1,0,2,2,0,2,0,0,0,2,2,2,2,2,0,0,2,0,2,2,2,2,1,0,1,1,2,2,2,1,0,2,1,2,2,0,2,1,0,1,2,1,1,1,1,0,2,1,1,0,0,1,1,1,0,0,2,0,1,1,2,1,0,1,1,1,2,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,0,0,2,0,2,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Pablo Escobar",2,3,4,3,2,1,1,1,2,1,1,3,2,1,1,1,3,1,1,2,4,2,1,5,1,1,2,0,1,1,1,2,1,3,4,3,4,1,1,3,0,1,2,1,1,0,0,1,2,0,0,1,2,2,0,0,2,1,2,3,2,2,2,1,1,1,1,1,3,1,0,1,0,8,3,0,3,1,3,1,0,2,2,3,0,2,3,0,1,4,1,2,1,2,0,2,2,1,0,3,1,1,2,0,1,0,3,0,3,1,0,0,1,0,1,1,0,1,3,2,2,1,0,1,2,1,0,1,1,0,0,3,1,1,2,2,0,0,1,1,3,0,1,2,0,2,0,3,1,3,0,0,1,1,0,1,0,0,4,1,0,2,2,0,1,2,2,0,1,2,1,0,2,2,1,1,2,2,1,3,2,0,1,1,0,2,1,0,2,1,2,1,1,0,1,1,1,0,1,0,2,1,2,0,2,1,2,1,1,0,1,0,0,1,0,0,2,1,1,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Tyrion",2,3,2,3,4,3,3,3,3,4,2,3,2,3,2,2,2,4,4,2,1,2,1,2,1,5,3,3,3,2,3,4,1,1,1,3,2,2,1,1,4,2,2,1,1,3,3,2,2,2,1,2,3,1,0,0,1,2,1,1,2,0,2,1,2,2,1,1,2,1,2,1,1,0,2,2,1,2,2,2,3,0,1,3,1,1,2,2,1,0,1,1,2,1,2,2,1,2,3,1,2,1,1,1,1,2,2,1,1,2,1,2,1,1,1,2,1,0,0,1,1,2,3,2,1,0,1,1,3,1,1,0,2,2,1,0,1,1,0,2,1,1,0,1,1,0,2,1,1,1,2,1,2,1,2,0,1,2,0,1,1,1,1,0,1,0,1,2,0,1,1,2,0,2,1,1,1,0,1,0,0,3,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
"Rumi",4,1,1,2,2,2,2,2,2,2,3,1,4,2,2,2,1,3,2,3,2,2,2,1,3,2,2,2,2,1,2,1,2,3,2,1,0,1,3,3,1,2,1,3,3,3,2,2,1,1,1,1,1,2,2,1,0,1,4,2,1,4,3,2,1,2,2,2,1,2,2,2,3,3,2,0,1,1,3,1,1,3,1,2,2,3,1,0,1,2,2,1,2,1,1,0,2,1,1,3,1,1,2,2,1,1,1,1,1,1,0,0,1,1,1,0,1,2,3,1,1,0,1,1,1,1,0,2,2,2,0,2,2,1,0,1,2,1,1,2,1,0,1,1,1,2,0,0,2,1,0,1,1,0,1,2,1,0,1,0,2,1,0,1,1,1,1,0,1,0,1,2,1,0,1,1,1,2,1,2,1,0,0,2,0,2,1,1,2,0,1,2,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"Shelby",1,3,2,3,4,1,1,1,4,2,1,3,3,2,3,2,2,2,1,2,2,3,0,2,1,2,2,0,2,2,1,3,0,1,0,2,2,2,1,2,2,1,4,0,0,2,2,2,2,2,0,1,2,3,1,2,1,0,0,3,1,1,0,0,2,0,1,1,2,1,3,2,2,1,2,3,1,2,3,2,1,2,0,1,2,2,1,2,2,0,3,1,3,1,2,1,3,2,2,2,2,3,2,0,1,0,0,0,1,1,1,2,1,2,1,1,0,1,1,1,0,3,0,1,0,0,2,1,1,2,1,2,1,3,1,1,1,0,1,2,1,1,1,0,0,0,2,1,0,1,1,2,1,0,1,1,0,0,1,1,1,3,1,1,1,1,3,0,1,1,0,1,0,1,1,1,1,2,2,2,0,1,2,1,1,1,2,1,2,1,0,2,0,1,3,0,1,0,1,1,0,2,1,0,0,0,2,0,1,3,0,0,3,0,1,0,1,0,0,1,1,1,2,0,1,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0
"Joker",5,1,2,3,2,4,2,2,2,2,2,1,2,2,4,2,1,3,2,2,3,2,2,1,4,3,3,3,2,1,2,1,4,3,3,1,0,1,4,2,3,3,1,2,3,1,2,2,0,1,2,1,1,1,2,1,4,0,0,1,1,3,3,3,1,3,1,2,1,1,1,2,3,3,1,0,1,1,2,1,1,2,2,2,2,1,1,0,2,1,1,1,2,1,1,1,2,2,1,2,2,0,1,3,2,2,2,2,1,1,0,0,2,2,2,0,2,1,2,1,1,0,2,1,1,1,0,1,1,2,0,2,1,1,0,1,1,2,1,1,1,1,1,1,1,2,0,0,3,1,0,1,1,1,1,1,2,0,0,0,1,1,0,1,1,1,1,1,1,0,1,2,1,0,2,1,1,1,1,0,1,0,0,1,1,1,0,1,2,0,2,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mr. Wick",2,2,2,2,3,2,2,2,3,2,2,1,3,2,2,2,2,2,2,3,2,3,1,2,1,2,3,0,1,2,1,2,1,1,2,2,3,2,1,2,1,1,3,1,1,2,1,2,1,1,0,2,3,3,3,1,2,3,1,0,2,2,1,1,2,1,2,1,1,2,2,1,1,3,2,1,0,2,2,1,1,3,1,1,1,2,2,1,2,1,1,2,2,2,1,0,2,1,1,2,1,3,3,0,2,0,0,0,1,2,1,1,2,1,1,2,0,2,2,2,3,2,1,1,1,1,1,2,1,0,1,3,2,2,1,2,1,0,1,2,2,1,1,2,0,1,1,1,0,0,1,1,1,1,0,2,0,0,1,1,1,0,1,0,1,1,2,0,1,1,1,0,1,1,1,0,2,2,2,1,2,1,2,1,0,1,2,0,2,0,2,2,1,1,3,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Kyo",2,2,3,2,3,4,3,2,2,3,2,1,2,3,2,4,2,3,3,2,1,3,1,1,1,3,3,1,2,2,2,3,1,1,1,3,1,2,1,1,2,2,2,1,1,2,2,2,1,1,0,2,2,2,2,2,1,1,1,2,0,1,2,1,4,2,3,0,1,2,1,1,0,2,1,1,1,2,0,4,1,1,2,2,0,2,2,1,2,1,0,2,1,1,2,1,1,1,1,0,1,3,2,0,2,1,2,0,1,2,1,1,1,1,0,2,0,2,2,2,2,3,1,2,3,1,1,2,2,0,2,2,1,1,3,1,0,0,1,1,3,1,2,1,0,1,3,2,0,1,2,1,1,2,0,1,0,1,1,3,0,0,1,0,0,0,1,2,1,1,1,1,1,3,3,2,1,0,1,0,1,1,1,1,1,0,0,0,0,3,1,0,1,2,0,2,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Scrooge",4,2,2,2,1,1,1,3,1,1,2,0,4,1,1,3,2,1,2,1,2,1,2,1,2,1,1,0,2,2,1,1,1,1,1,1,1,2,2,1,0,1,1,2,3,1,1,1,1,2,1,3,2,3,2,0,4,1,3,2,1,0,2,1,1,1,1,2,2,3,3,1,2,3,1,1,0,1,2,1,1,3,3,2,1,2,2,1,1,1,2,1,1,2,1,0,1,0,0,2,0,1,2,1,1,0,1,0,2,1,1,3,2,1,0,1,0,2,3,1,2,0,0,1,1,2,2,1,1,1,1,2,2,1,1,2,2,0,1,2,1,1,1,1,0,3,0,0,1,2,0,1,1,0,0,3,0,2,3,0,1,1,0,2,0,2,1,1,1,0,1,1,2,0,1,1,1,2,1,1,1,0,0,1,0,4,3,0,2,0,1,2,1,0,2,1,1,0,1,2,0,1,1,1,2,1,0,1,1,2,2,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,2,1,0,0,0,2,1,2,1,0,0,0,0,0
"Storm_Breaker",3,1,1,2,3,3,5,2,2,3,2,1,1,3,2,2,1,3,3,3,4,1,2,1,3,2,3,3,3,1,3,1,4,2,3,1,0,1,3,2,2,3,3,3,3,2,3,2,0,1,2,1,1,1,2,2,3,0,3,1,2,2,0,2,1,3,1,2,1,2,1,2,2,2,3,0,1,1,3,1,1,2,1,2,1,2,1,0,1,1,1,1,2,0,1,1,1,2,1,4,2,0,0,2,1,2,1,1,1,1,1,0,1,1,1,0,1,1,2,1,2,0,2,1,2,1,0,1,1,2,0,0,1,2,0,1,1,1,1,0,2,0,1,1,2,1,0,0,1,2,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,4,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,2,0,0,1,2,1,0,0,1,1,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,3,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"PK",6,1,3,2,2,4,2,2,2,2,4,1,1,2,3,1,1,2,2,3,2,3,3,1,4,2,2,6,2,1,4,0,4,4,4,1,0,1,3,3,2,2,1,3,3,1,1,2,1,1,5,1,1,1,1,1,2,0,3,1,1,1,2,0,1,4,2,2,0,2,0,2,2,1,1,0,2,1,1,0,1,1,3,0,4,1,1,0,2,1,2,2,1,1,0,3,1,2,1,2,2,0,0,4,2,5,2,5,1,1,0,0,0,1,3,0,4,2,1,1,1,0,2,1,1,2,1,1,1,2,2,0,1,0,0,1,3,4,1,1,1,2,1,1,4,1,0,0,2,0,0,0,1,1,2,1,3,2,0,1,1,0,0,1,2,0,0,1,1,0,1,1,1,0,0,2,1,0,0,0,1,0,0,2,2,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Ashy_Drongo",2,2,3,2,3,2,2,2,4,3,2,3,3,3,3,4,3,5,2,2,1,4,1,2,1,4,2,0,2,3,1,3,1,2,1,5,1,3,1,1,1,1,3,1,1,1,1,2,2,1,0,2,2,2,1,2,1,2,1,2,4,1,1,1,0,1,2,0,4,1,2,1,0,1,1,2,1,5,1,4,1,1,1,2,0,2,2,2,3,1,0,2,2,1,2,0,3,0,3,0,0,2,2,0,2,0,0,0,2,4,1,2,1,2,0,1,0,2,1,2,1,3,0,3,1,1,1,2,3,0,1,1,2,2,2,1,0,0,2,1,1,1,1,1,0,1,3,1,0,2,2,1,2,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,2,1,1,1,0,1,1,2,1,1,1,0,0,0,0,0,1,1,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Saitama",4,1,3,2,4,4,3,2,2,3,2,1,1,5,3,1,1,3,3,2,2,2,5,0,3,2,3,5,4,1,4,1,4,3,3,1,0,1,3,2,4,3,1,3,3,2,2,2,1,1,3,1,1,1,1,2,2,0,3,1,2,1,3,4,1,0,1,1,0,3,0,2,2,1,1,0,1,1,1,0,1,1,2,1,3,1,1,0,1,1,2,1,1,0,0,5,1,3,1,2,3,0,0,2,2,4,3,3,1,1,0,0,0,1,3,0,5,1,1,1,2,0,3,1,2,2,0,1,1,4,0,0,1,0,0,1,2,3,1,0,2,2,1,1,2,1,0,0,2,1,0,0,1,2,2,1,2,2,0,0,2,0,0,1,1,0,0,2,1,0,1,2,1,0,0,1,1,0,0,0,1,0,0,1,2,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shikaari Shambhu",3,2,2,2,2,3,2,2,2,2,3,1,6,2,2,3,2,3,2,4,1,3,1,1,2,2,2,1,1,2,1,1,1,2,2,3,1,2,1,2,1,1,2,2,1,2,1,2,1,1,1,2,2,2,1,1,2,1,1,2,3,1,1,2,2,1,0,1,1,1,1,1,0,1,1,1,1,5,0,2,1,1,1,1,1,1,2,4,2,4,0,2,0,1,2,0,2,0,1,0,3,2,1,1,2,1,0,1,1,5,1,1,4,1,0,2,1,2,1,2,1,2,0,1,1,1,1,3,2,0,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,0,0,1,1,1,0,0,1,1,0,0,3,0,0,2,0,0,0,1,0,3,1,1,0,1,1,1,0,1,0,1,1,1,1,1,2,1,0,0,0,0,1,1,0,1,1,0,3,0,0,3,0,0,0,0,0,0,3,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Pepper",4,2,1,2,3,1,2,2,2,1,2,1,1,1,1,2,1,1,2,3,4,2,3,0,4,1,3,3,2,2,2,1,1,2,2,0,2,1,4,2,1,2,1,2,3,2,2,1,1,2,4,1,0,2,1,1,2,1,2,1,0,2,2,2,0,1,1,0,2,1,2,1,2,2,1,1,2,1,2,1,2,2,3,1,2,0,0,1,0,1,2,1,1,1,2,0,1,2,1,1,2,1,1,4,0,2,0,2,1,0,2,1,2,1,2,1,2,1,0,0,1,1,3,1,0,1,1,0,0,2,1,1,1,0,0,3,2,2,1,0,1,0,0,0,2,1,1,0,2,1,0,2,0,0,2,0,2,1,0,1,1,0,0,4,1,2,1,1,1,0,1,2,1,0,1,1,1,2,0,0,0,0,1,1,2,1,2,1,1,1,0,2,1,0,1,0,0,1,1,1,1,0,0,2,1,1,1,1,2,0,1,2,1,0,0,1,3,0,0,1,1,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"Madara Uchiha",4,2,3,4,2,1,1,2,2,2,2,2,3,1,1,4,3,4,2,1,2,2,1,2,1,1,1,0,2,3,0,2,0,2,0,4,3,4,1,0,1,0,3,1,2,1,2,1,4,2,1,2,1,2,3,2,1,2,1,1,1,2,1,0,4,0,1,2,0,1,4,0,1,4,3,3,0,4,1,3,2,1,1,4,0,1,3,3,1,0,1,2,1,2,3,0,1,0,2,0,0,2,1,1,1,0,0,0,4,1,2,3,3,2,0,2,0,0,0,2,1,2,0,1,0,2,2,1,1,1,2,0,2,2,1,1,0,0,0,1,0,1,0,0,0,1,2,2,0,3,1,3,1,1,1,0,0,1,1,1,0,1,1,2,0,1,1,1,0,1,0,1,1,3,2,0,0,1,1,2,0,1,1,0,0,4,1,0,2,0,0,1,1,1,0,0,0,0,2,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0
"Sansa",3,2,3,2,2,2,3,2,1,2,2,0,3,2,1,2,2,2,3,1,2,1,3,0,1,1,2,2,3,2,3,2,2,1,1,1,1,2,2,1,1,2,1,3,3,2,1,1,2,1,2,2,1,3,1,1,2,1,1,2,2,3,2,2,1,3,1,1,1,0,2,1,1,1,2,1,0,1,1,0,1,2,1,1,2,2,2,1,1,2,3,2,1,1,0,2,1,1,0,2,1,1,1,0,1,2,2,1,3,1,1,1,1,0,1,1,1,2,2,1,3,0,1,1,3,3,1,1,1,1,1,1,2,1,0,2,2,1,2,1,2,1,1,1,1,2,0,0,0,2,0,0,1,2,1,2,0,3,3,1,1,0,0,2,0,2,0,2,1,0,2,1,2,0,0,0,1,1,0,1,1,0,0,1,1,1,2,0,1,0,1,2,1,0,1,1,1,0,0,3,1,2,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"Vincent Vega",3,2,3,2,2,2,1,2,2,2,2,2,4,1,1,4,4,2,2,1,1,2,1,2,1,1,1,0,2,3,0,2,0,0,0,2,2,3,1,0,1,0,2,1,2,2,2,1,3,2,1,2,1,3,0,2,2,3,1,2,1,3,1,0,2,0,1,2,4,2,0,0,2,1,2,3,0,2,2,3,2,2,1,2,1,2,1,3,1,0,1,1,2,2,3,0,1,0,2,1,0,3,2,1,1,0,0,0,2,1,2,3,3,2,0,3,0,1,1,1,2,2,0,1,0,2,2,1,1,1,2,1,2,3,1,1,1,0,0,2,0,1,0,0,0,1,2,1,0,1,1,2,1,0,1,2,0,1,1,1,1,1,1,2,0,1,1,1,0,1,0,1,1,1,2,0,0,1,1,1,0,1,1,0,0,2,2,1,1,0,1,2,0,1,1,0,1,0,2,2,0,1,0,1,0,1,0,2,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0
"bira91",3,2,1,4,4,3,3,3,3,2,3,2,1,5,3,1,1,2,2,2,4,1,3,0,4,3,2,3,3,1,3,1,4,3,3,1,1,1,3,2,2,4,1,3,3,1,3,3,0,1,2,1,2,2,1,1,2,2,2,1,1,1,2,2,1,2,1,1,0,1,0,0,4,1,1,0,2,1,1,0,1,3,2,0,2,1,1,0,2,1,2,1,1,1,0,2,2,2,1,1,2,0,0,2,1,1,2,3,1,1,0,0,0,1,3,0,3,3,1,1,1,0,2,1,1,1,0,1,1,3,0,0,1,0,0,1,1,2,3,0,1,1,1,1,2,1,0,0,1,0,2,0,1,0,1,1,2,0,0,0,2,0,0,0,3,1,0,0,1,1,1,1,1,0,1,2,1,0,1,1,1,0,1,1,2,0,0,2,0,1,1,0,1,0,0,1,0,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Donna Paulson",4,1,1,3,2,3,2,2,1,1,1,1,1,2,3,1,0,1,1,1,2,1,1,0,5,2,1,4,1,0,2,1,3,5,2,0,1,0,3,1,3,3,0,2,2,4,4,2,0,1,3,0,1,1,0,1,3,2,3,1,0,2,2,2,0,2,0,2,1,1,2,4,0,1,2,0,1,0,2,1,1,3,3,1,4,1,0,0,1,0,3,0,2,0,1,3,1,3,1,2,3,1,1,4,1,2,3,3,0,0,0,0,1,3,3,0,3,3,3,0,0,0,3,0,0,0,0,0,0,3,0,1,0,1,0,0,2,3,1,1,0,2,0,0,2,0,0,0,2,1,1,1,0,1,1,1,3,0,1,0,2,0,0,1,1,0,0,1,0,0,0,2,0,0,1,1,0,1,0,2,0,0,1,0,2,2,1,2,3,2,0,3,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,3,0,2,0,0,2,0,0,0,0,0,0,0,1,1,1,1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
